"Entity","Gap Type","Finding","Platform","Competitor(s) cited instead","Evidence / Query","Action (Fix/Build/Influence)","Demand potential (H/M/L)","Brand credibility (H/M/L)","Citation-odds impact (H/M/L)","Priority (P0-P3)","Owner","Status","Target date","Notes"
"ChurnLens (churnlens.site)","narrative/entity","Brand-name collision: TWO same-named sites we don't own — churnlens.io (Hostinger, generic 'AI churn prevention') and churnlens.tech (founder Manish Perera, Colombo; 'explainable churn prediction') — own the 'ChurnLens' name in AI. Asked about 'ChurnLens', AI describes .tech; churnlens.site is invisible for its own brand name.","ChatGPT / Perplexity / all","churnlens.tech; churnlens.io","WebSearch 'ChurnLens ... review' → churnlens.tech ranks #1 and the AI summary matches .tech; neither namesake nor churnlens.site is our site","Fix","H","H","H","P0","Maryan","in progress","2026-07-25","Highest-ROI winnable gap and now ACTIONABLE (site is already crawlable, unlike .io). Give churnlens.site a DISTINCT descriptor on the buyer-side/acquirer DD wedge (not generic 'churn prediction'); use it in title/meta/H1/schema. Add Organization + SoftwareApplication JSON-LD with a distinct description + real sameAs. Add a named-founder About page (see credibility row). Owner decision pending: keep 'ChurnLens' + differentiate vs rename (playbook ~/churnlens-entity-playbook.md)."
"ChurnLens (churnlens.site)","narrative/entity","Inconsistent on-page entity signals muddy the knowledge graph and deepen the namesake collision: brand name flips between 'ChurnLens' and 'Churn Lens'; 6+ Organization/JSON-LD blocks with different descriptions; sameAs → github.com/kindrat86 (personal dev account) + linkedin.com/company/churnlens (likely nonexistent).","all","—","Homepage JSON-LD: 6+ schema blocks, inconsistent name + broken sameAs targets","Fix","M","H","H","P1","Maryan","in progress","2026-08-08","Consolidate to ONE canonical name, ONE clean Organization + SoftwareApplication block (distinct buyer-side-DD description), and sameAs pointing ONLY to real owned profiles. Cheap, high-ROI disambiguation that directly supports the P0 entity fix."
"ChurnLens (churnlens.site)","narrative/positioning","The buyer-side/acquirer DD wedge is UNCLAIMED, so AI fills it with the wrong tools: for 'analyze churn before acquiring' AI names retention tools (ChurnZero, Pendo) + ChartMogul; for 'Baremetrics/ChartMogul for due diligence' AI crowns ChartMogul as the buyer-side DD tool. churnlens.site is purpose-built for this but absent, so a generic analytics tool owns its category by default.","ChatGPT / AI Overviews","ChartMogul; ChurnZero; Pendo; Baremetrics","WebSearch 'Baremetrics vs ChartMogul vs ProfitWell ... due diligence' → 'For acquisition due diligence, ChartMogul is the strongest choice'; churnlens.site 0 appearances","Fix","H","M","H","P1","Maryan","in progress","2026-08-08","Make the wedge explicit and repeated: 'the buyer-side / acquirer due-diligence tool' — not 'churn analytics'. The /alternatives-to/{baremetrics,chartmogul,profitwell} + /vs/ pages already exist (12 + 25 pages) but don't surface; strengthen them with a clear 'built for buyers, not operators' angle and get them cited (web-mentions row)."
"ChurnLens (churnlens.site)","visibility","Absent from every 'best SaaS due diligence / churn-analysis tools for buyers 2026' answer and listicle sampled. The category is answered with retention + analytics incumbents and DD-content authorities.","ChatGPT / AI Overviews / Perplexity","ChartMogul; ChurnZero; Pendo; Baremetrics; FE International; Livmo; Pecan","WebSearch 'best SaaS due diligence tools for buyers 2026' + 'how to check a SaaS real churn rate before buying it' — 0 churnlens.site appearances across ~20 cited sources","Influence","H","H","H","P1","Maryan","in progress","2026-08-08","Head terms are owned by DR-high incumbents + DD publishers. Realistic path = get into 'alternatives'/comparison sections + G2/Capterra + the buyer-side DD roundups, not #1 for 'best churn tool'. Feeds off the web-mentions row."
"ChurnLens (churnlens.site)","web-mentions","Zero third-party mentions on the review sites and roundups AI cites (G2, Capterra, AlternativeTo, and the buyer-side DD roundups: FE International, Livmo, SoftwareEquity, iMerge, Indie Hackers). Branded web mentions are the single strongest AI-visibility signal (0.664 corr. w/ AI Overviews) — and it's empty.","all","every incumbent + DD publisher","No churnlens.site on G2/Capterra/AlternativeTo or any sampled roundup; industry 'due diligence service' discussion exists (Indie Hackers) with no churnlens.site mention","Influence","H","H","H","P1","Maryan","in progress","2026-08-08","Do-first Influence. Directory packets were already drafted (~/churnlens-directory-packets/) but for the WRONG domain (churnlens.io) — re-base to churnlens.site (acquirer-DD wedge) before submitting. Then pitch the DD roundup authors (FE International, Livmo, SoftwareEquity, MergeWave, Website Closers) for an 'alternatives/tools' inclusion; engage the Indie Hackers 'buyer-side DD service' thread."
"ChurnLens (churnlens.site)","topic","Not the associated entity for the topics it should own — buyer-side SaaS due diligence, hidden/contraction churn, revenue concentration risk, revenue-quality scoring, MRR decay, zombie MRR, logo-vs-revenue retention. Competitors/publishers own all of them.","all","FE International (DD checklists); ChartMogul (analytics); Website Closers / Livmo (metrics)","WebSearch of each topic maps it to an incumbent/publisher, none to churnlens.site","Build","M","M","H","P2","Maryan","todo","2026-08-29","Build topical authority across the WHOLE wedge (query fan-out). Bridge the site's coined terms to the consensus vocabulary AI already uses — 'hidden churn'/'zombie MRR' ↔ 'contraction MRR' / 'silent churn' / 'logo vs revenue retention' — so AI connects the concepts to churnlens.site."
"ChurnLens (churnlens.site)","format","Formats are mostly PRESENT (unlike churnlens.io): 25 /vs/, 12 /alternatives-to/, 17 /benchmarks/, 8 /calculators/, 34 /for/, 30 /glossary/ (325 HTML / 198 sitemap URLs). Remaining format gaps: no ORIGINAL-DATA study with proprietary numbers AI loves to cite; no YouTube/video for how-to queries; proprietary frameworks are underleveraged ('5-Risk Buyer-Side Method' appears once).","AI Overviews / AI Mode","incumbents have original data reports + YouTube","Local inventory: formats present; grep '5-Risk Buyer-Side Method' = 1 hit; no /video or YouTube; 43.8% of AI-cited pages are listicles / AI loves specific original numbers","Build","M","M","H","P2","Maryan","todo","2026-08-29","Publish an ORIGINAL buyer-side churn-benchmark data study (real numbers → citeable). Build a dedicated, entity-rich, branded page for each proprietary framework ('the ChurnLens 5-Risk Buyer-Side Method', 'Revenue Quality Score A–F'). Add a short YouTube how-to ('how to spot hidden churn in a SaaS you're buying')."
"ChurnLens (churnlens.site)","narrative/credibility","pSEO built fast at scale (198 URLs) with a history of fabricated 'Varies' tables + duplicate FAQ (fixed 2026-07-18) and thin pages; /benchmarks/ pages state specific churn numbers that need sourcing; homepage '$340K' is a hypothetical hook, not a customer result. No named person/company on About. Unsourced/round claims give AI nothing specific+true to repeat and weaken the entity.","all","—","Memory pseo-vs-generators (fabricated tables history); about.html names no founder + thin templated copy; '$340K' hook x17","Fix","M","M","M","P2","Maryan","todo","2026-08-29","Module-4 misinformation defense: source every benchmark stat (cite the dataset/year), add a dated methodology or real case study behind 'hidden churn' detection, and name the real company + a real person on About. Specific-and-true > vague-but-impressive for AEO, and a named entity is a strong disambiguation signal vs the two namesakes."
"ChurnLens (churnlens.site)","technical/visibility","RESOLVED / healthy — the two churnlens.io P0s DO NOT apply here. churnlens.site is static HTML on Vercel (fully crawlable, no JS shell), robots.txt allows GPTBot/ClaudeBot/Google-Extended/PerplexityBot, and the edge returns HTTP 200 for GPTBot/OAI-SearchBot/ChatGPT-User (no CDN/WAF block).","ChatGPT / all crawlers","—","check_ai_bots.py churnlens.site --edge: robots clean; edge GPTBot=200, OAI-SearchBot=200, ChatGPT-User=200","Fix","L","L","L","P3","Maryan","todo","2026-09-12","Verify-only. Minor: OAI-SearchBot / Claude-SearchBot / Perplexity-User are PARTIAL (disallow /api/auth/, /api/webhook/, /api/cron/, /dashboard/) — confirm no citable content lives under those paths (it doesn't). No SSR or edge work needed — the sibling SSR + GPTBot tasks were for churnlens.io (not ours)."
"ChurnLens (churnlens.site)","demand","Branded demand for 'ChurnLens' is intercepted by churnlens.tech/.io; category demand ('tool to analyze a SaaS's churn before buying') never surfaces churnlens.site; even the site's coined terms ('hidden churn','zombie MRR') don't surface it. No owned branded/AI-referral traffic being captured or measured.","all","churnlens.tech; churnlens.io; category incumbents","Branded + category + coined-term sampling above","Build","M","M","M","P3","Maryan","todo","2026-09-12","Flows from fixing entity (P0) + web-mentions (P1). Add a 'how did you hear about us?' with AI options + a GA4/PostHog AI-referral channel so the fixes can be measured once they land (module 4)."
